signguCode,signguNm,daywkDivCd,daywkDivNm,touDivCd,touDivNm,touNum,baseYmd
30110,동구,1,월요일,1,현지인(a),72999.5,20240101
30110,동구,1,월요일,2,외지인(b),111923.0,20240101
30110,동구,1,월요일,3,외국인(c),600.2,20240101
30140,중구,1,월요일,1,현지인(a),92729.0,20240101
30140,중구,1,월요일,2,외지인(b),112017.5,20240101
30140,중구,1,월요일,3,외국인(c),325.75000000000006,20240101
30170,서구,1,월요일,1,현지인(a),227192.0,20240101
30170,서구,1,월요일,2,외지인(b),140346.5,20240101
30170,서구,1,월요일,3,외국인(c),609.6599999999999,20240101
30200,유성구,1,월요일,1,현지인(a),198989.0,20240101
30200,유성구,1,월요일,2,외지인(b),143489.5,20240101
30200,유성구,1,월요일,3,외국인(c),783.16,20240101
30230,대덕구,1,월요일,1,현지인(a),59664.5,20240101
30230,대덕구,1,월요일,2,외지인(b),68372.5,20240101
30230,대덕구,1,월요일,3,외국인(c),310.49000000000007,20240101
30110,동구,2,화요일,1,현지인(a),82824.0,20240102
30110,동구,2,화요일,2,외지인(b),74928.0,20240102
30110,동구,2,화요일,3,외국인(c),611.5899999999999,20240102
30140,중구,2,화요일,1,현지인(a),105707.0,20240102
30140,중구,2,화요일,2,외지인(b),88301.5,20240102
30140,중구,2,화요일,3,외국인(c),311.39000000000004,20240102
30170,서구,2,화요일,1,현지인(a),268891.0,20240102
30170,서구,2,화요일,2,외지인(b),133346.5,20240102
30170,서구,2,화요일,3,외국인(c),662.1299999999998,20240102
30200,유성구,2,화요일,1,현지인(a),246242.5,20240102
30200,유성구,2,화요일,2,외지인(b),120631.0,20240102
30200,유성구,2,화요일,3,외국인(c),806.9899999999999,20240102
30230,대덕구,2,화요일,1,현지인(a),69832.0,20240102
30230,대덕구,2,화요일,2,외지인(b),51796.5,20240102
30230,대덕구,2,화요일,3,외국인(c),311.36000000000007,20240102
30110,동구,3,수요일,1,현지인(a),82771.5,20240103
30110,동구,3,수요일,2,외지인(b),73248.0,20240103
30110,동구,3,수요일,3,외국인(c),529.5100000000001,20240103
30140,중구,3,수요일,1,현지인(a),105696.5,20240103
30140,중구,3,수요일,2,외지인(b),90209.0,20240103
30140,중구,3,수요일,3,외국인(c),268.45000000000005,20240103
30170,서구,3,수요일,1,현지인(a),270994.5,20240103
30170,서구,3,수요일,2,외지인(b),137546.5,20240103
30170,서구,3,수요일,3,외국인(c),608.4,20240103
30200,유성구,3,수요일,1,현지인(a),249616.5,20240103
30200,유성구,3,수요일,2,외지인(b),125566.0,20240103
30200,유성구,3,수요일,3,외국인(c),786.62,20240103
30230,대덕구,3,수요일,1,현지인(a),70381.5,20240103
30230,대덕구,3,수요일,2,외지인(b),55933.5,20240103
30230,대덕구,3,수요일,3,외국인(c),380.24,20240103
30110,동구,4,목요일,1,현지인(a),83394.5,20240104
30110,동구,4,목요일,2,외지인(b),76902.0,20240104
30110,동구,4,목요일,3,외국인(c),540.8,20240104
30140,중구,4,목요일,1,현지인(a),107023.0,20240104
30140,중구,4,목요일,2,외지인(b),96687.5,20240104
30140,중구,4,목요일,3,외국인(c),339.00000000000006,20240104
30170,서구,4,목요일,1,현지인(a),271565.0,20240104
30170,서구,4,목요일,2,외지인(b),144242.0,20240104
30170,서구,4,목요일,3,외국인(c),622.2599999999999,20240104
30200,유성구,4,목요일,1,현지인(a),251496.0,20240104
30200,유성구,4,목요일,2,외지인(b),133854.0,20240104
30200,유성구,4,목요일,3,외국인(c),877.64,20240104
30230,대덕구,4,목요일,1,현지인(a),70266.0,20240104
30230,대덕구,4,목요일,2,외지인(b),57158.5,20240104
30230,대덕구,4,목요일,3,외국인(c),386.0500000000001,20240104
30110,동구,5,금요일,1,현지인(a),84056.0,20240105
30110,동구,5,금요일,2,외지인(b),93562.0,20240105
30110,동구,5,금요일,3,외국인(c),489.18999999999994,20240105
30140,중구,5,금요일,1,현지인(a),107702.0,20240105
30140,중구,5,금요일,2,외지인(b),107149.0,20240105
30140,중구,5,금요일,3,외국인(c),309.24,20240105
30170,서구,5,금요일,1,현지인(a),276346.0,20240105
30170,서구,5,금요일,2,외지인(b),158746.0,20240105
30170,서구,5,금요일,3,외국인(c),585.43,20240105
30200,유성구,5,금요일,1,현지인(a),250946.5,20240105
