areaCode,areaNm,daywkDivCd,daywkDivNm,touDivCd,touDivNm,touNum,baseYmd
30,대전광역시,1,월요일,1,현지인(a),594450.5,20180101
30,대전광역시,1,월요일,2,외지인(b),221154.5,20180101
30,대전광역시,2,화요일,1,현지인(a),686451.5,20180102
30,대전광역시,2,화요일,2,외지인(b),162270.5,20180102
30,대전광역시,3,수요일,1,현지인(a),690658.5,20180103
30,대전광역시,3,수요일,2,외지인(b),162190.0,20180103
30,대전광역시,4,목요일,1,현지인(a),689419.5,20180104
30,대전광역시,4,목요일,2,외지인(b),167447.0,20180104
30,대전광역시,5,금요일,1,현지인(a),697014.5,20180105
30,대전광역시,5,금요일,2,외지인(b),191761.5,20180105
30,대전광역시,6,토요일,1,현지인(a),644752.5,20180106
30,대전광역시,6,토요일,2,외지인(b),258415.5,20180106
30,대전광역시,7,일요일,1,현지인(a),623707.0,20180107
30,대전광역시,7,일요일,2,외지인(b),217633.5,20180107
30,대전광역시,1,월요일,1,현지인(a),675409.0,20180108
30,대전광역시,1,월요일,2,외지인(b),165690.0,20180108
30,대전광역시,2,화요일,1,현지인(a),675255.0,20180109
30,대전광역시,2,화요일,2,외지인(b),168206.5,20180109
30,대전광역시,3,수요일,1,현지인(a),671706.0,20180110
30,대전광역시,3,수요일,2,외지인(b),167181.0,20180110
30,대전광역시,4,목요일,1,현지인(a),669630.5,20180111
30,대전광역시,4,목요일,2,외지인(b),173197.5,20180111
30,대전광역시,5,금요일,1,현지인(a),682419.5,20180112
30,대전광역시,5,금요일,2,외지인(b),202713.0,20180112
30,대전광역시,6,토요일,1,현지인(a),638711.5,20180113
30,대전광역시,6,토요일,2,외지인(b),277998.0,20180113
30,대전광역시,7,일요일,1,현지인(a),617879.5,20180114
30,대전광역시,7,일요일,2,외지인(b),231378.0,20180114
30,대전광역시,1,월요일,1,현지인(a),677810.0,20180115
30,대전광역시,1,월요일,2,외지인(b),191548.0,20180115
30,대전광역시,2,화요일,1,현지인(a),674471.0,20180116
30,대전광역시,2,화요일,2,외지인(b),193042.5,20180116
30,대전광역시,3,수요일,1,현지인(a),681324.0,20180117
30,대전광역시,3,수요일,2,외지인(b),195727.0,20180117
30,대전광역시,4,목요일,1,현지인(a),679084.0,20180118
30,대전광역시,4,목요일,2,외지인(b),203700.0,20180118
30,대전광역시,5,금요일,1,현지인(a),686801.5,20180119
30,대전광역시,5,금요일,2,외지인(b),222666.5,20180119
30,대전광역시,6,토요일,1,현지인(a),638522.5,20180120
30,대전광역시,6,토요일,2,외지인(b),296348.5,20180120
30,대전광역시,7,일요일,1,현지인(a),616605.5,20180121
30,대전광역시,7,일요일,2,외지인(b),251230.0,20180121
30,대전광역시,1,월요일,1,현지인(a),666711.5,20180122
30,대전광역시,1,월요일,2,외지인(b),194124.0,20180122
30,대전광역시,2,화요일,1,현지인(a),663995.5,20180123
30,대전광역시,2,화요일,2,외지인(b),197802.5,20180123
30,대전광역시,3,수요일,1,현지인(a),664363.0,20180124
30,대전광역시,3,수요일,2,외지인(b),195951.0,20180124
30,대전광역시,4,목요일,1,현지인(a),668230.5,20180125
30,대전광역시,4,목요일,2,외지인(b),201316.5,20180125
30,대전광역시,5,금요일,1,현지인(a),668206.0,20180126
30,대전광역시,5,금요일,2,외지인(b),223888.0,20180126
30,대전광역시,6,토요일,1,현지인(a),629128.5,20180127
30,대전광역시,6,토요일,2,외지인(b),289492.0,20180127
30,대전광역시,7,일요일,1,현지인(a),611117.5,20180128
30,대전광역시,7,일요일,2,외지인(b),250666.5,20180128
30,대전광역시,1,월요일,1,현지인(a),663656.0,20180129
30,대전광역시,1,월요일,2,외지인(b),199013.5,20180129
30,대전광역시,2,화요일,1,현지인(a),667390.5,20180130
30,대전광역시,2,화요일,2,외지인(b),204578.5,20180130
30,대전광역시,3,수요일,1,현지인(a),680176.0,20180131
30,대전광역시,3,수요일,2,외지인(b),202846.0,20180131
30,대전광역시,4,목요일,1,현지인(a),686962.5,20180201
30,대전광역시,4,목요일,2,외지인(b),150699.5,20180201
30,대전광역시,5,금요일,1,현지인(a),696734.5,20180202
30,대전광역시,5,금요일,2,외지인(b),181786.5,20180202
30,대전광역시,6,토요일,1,현지인(a),643951.0,20180203
30,대전광역시,6,토요일,2,외지인(b),253249.5,20180203
30,대전광역시,7,일요일,1,현지인(a),626752.0,20180204
30,대전광역시,7,일요일,2,외지인(b),213839.5,20180204
30,대전광역시,1,월요일,1,현지인(a),672469.0,20180205
30,대전광역시,1,월요일,2,외지인(b),155095.5,20180205
30,대전광역시,2,화요일,1,현지인(a),675573.5,20180206
30,대전광역시,2,화요일,2,외지인(b),159684.0,20180206
30,대전광역시,3,수요일,1,현지인(a),685965.0,20180207
30,대전광역시,3,수요일,2,외지인(b),167181.0,20180207
30,대전광역시,4,목요일,1,현지인(a),686234.5,20180208
30,대전광역시,4,목요일,2,외지인(b),175945.0,20180208
30,대전광역시,5,금요일,1,현지인(a),693175.0,20180209
30,대전광역시,5,금요일,2,외지인(b),197921.5,20180209
